sample_id,reader_id,text_id
0,0,b0
1,0,b1
2,0,b2
3,0,b3
4,0,b4
5,0,b5
6,0,p0
7,0,p1
8,0,p2
9,0,p3
10,0,p4
11,0,p5
12,100,b0
13,100,b1
14,100,b2
15,100,b3
16,100,b4
17,100,b5
18,100,p0
19,100,p1
20,100,p2
21,100,p3
22,100,p4
23,100,p5
24,101,b0
25,101,b1
26,101,b2
27,101,b3
28,101,b4
29,101,b5
30,101,p0
31,101,p1
32,101,p2
33,101,p3
34,101,p4
35,101,p5
36,102,b0
37,102,b1
38,102,b2
39,102,b3
40,102,b4
41,102,b5
42,102,p0
43,102,p1
44,102,p2
45,102,p3
46,102,p4
47,102,p5
48,103,b0
49,103,b1
50,103,b2
51,103,b3
52,103,b4
53,103,b5
54,103,p0
55,103,p1
56,103,p2
57,103,p3
58,103,p4
59,103,p5
60,104,b0
61,104,b1
62,104,b2
63,104,b3
64,104,b4
65,104,b5
66,104,p0
67,104,p1
68,104,p2
69,104,p3
70,104,p4
71,104,p5
72,105,b0
73,105,b1
74,105,b2
75,105,b3
76,105,b4
77,105,b5
78,105,p0
79,105,p1
80,105,p2
81,105,p3
82,105,p4
83,105,p5
84,10,b0
85,10,b1
86,10,b2
87,10,b3
88,10,b4
89,10,b5
90,10,p0
91,10,p1
92,10,p2
93,10,p3
94,10,p4
95,10,p5
96,12,b0
97,12,b1
98,12,b2
99,12,b3
100,12,b4
101,12,b5
102,12,p0
103,12,p1
104,12,p2
105,12,p3
106,12,p4
107,12,p5
108,13,b0
109,13,b1
110,13,b2
111,13,b3
112,13,b4
113,13,b5
114,13,p0
115,13,p1
116,13,p2
117,13,p3
118,13,p4
119,13,p5
120,14,b0
121,14,b1
122,14,b2
123,14,b3
124,14,b4
125,14,b5
126,14,p0
127,14,p1
128,14,p2
129,14,p3
130,14,p4
131,14,p5
132,15,b0
133,15,b1
134,15,b2
135,15,b3
136,15,b4
137,15,b5
138,15,p0
139,15,p1
140,15,p2
141,15,p3
142,15,p4
143,15,p5
144,16,b0
145,16,b1
146,16,b2
147,16,b3
148,16,b4
149,16,b5
150,16,p0
151,16,p1
152,16,p2
153,16,p3
154,16,p4
155,16,p5
156,17,b0
157,17,b1
158,17,b2
159,17,b3
160,17,b4
161,17,b5
162,17,p0
163,17,p1
164,17,p2
165,17,p3
166,17,p4
167,17,p5
168,18,b0
169,18,b1
170,18,b2
171,18,b3
172,18,b4
173,18,b5
174,18,p0
175,18,p1
176,18,p2
177,18,p3
178,18,p4
179,18,p5
180,19,b0
181,19,b1
182,19,b2
183,19,b3
184,19,b4
185,19,b5
186,19,p0
187,19,p1
188,19,p2
189,19,p3
190,19,p4
191,19,p5
192,1,b0
193,1,b1
194,1,b2
195,1,b3
196,1,b4
197,1,b5
198,1,p0
199,1,p1
200,1,p2
201,1,p3
202,1,p4
203,1,p5
204,20,b0
205,20,b1
206,20,b2
207,20,b3
208,20,b4
209,20,b5
210,20,p0
211,20,p1
212,20,p2
213,20,p3
214,20,p4
215,20,p5
216,22,b0
217,22,b1
218,22,b2
219,22,b3
220,22,b4
221,22,b5
222,22,p0
223,22,p1
224,22,p2
225,22,p3
226,22,p4
227,22,p5
228,23,b0
229,23,b1
230,23,b2
231,23,b3
232,23,b4
233,23,b5
234,23,p0
235,23,p1
236,23,p2
237,23,p3
238,23,p4
239,23,p5
240,2,b0
241,2,b1
242,2,b2
243,2,b3
244,2,b4
245,2,b5
246,2,p0
247,2,p1
248,2,p2
249,2,p3
250,2,p4
251,2,p5
252,30,b0
253,30,b1
254,30,b2
255,30,b3
256,30,b4
257,30,b5
258,30,p0
259,30,p1
260,30,p2
261,30,p3
262,30,p4
263,30,p5
264,31,b0
265,31,b1
266,31,b2
267,31,b3
268,31,b4
269,31,b5
270,31,p0
271,31,p1
272,31,p2
273,31,p3
274,31,p4
275,31,p5
276,32,b0
277,32,b1
278,32,b2
279,32,b3
280,32,b4
281,32,b5
282,32,p0
283,32,p1
284,32,p2
285,32,p3
286,32,p4
287,32,p5
288,34,b0
289,34,b1
290,34,b2
291,34,b3
292,34,b4
293,34,b5
294,34,p0
295,34,p1
296,34,p2
297,34,p3
298,34,p4
299,34,p5
300,35,b0
301,35,b1
302,35,b2
303,35,b3
304,35,b4
305,35,b5
306,35,p0
307,35,p1
308,35,p2
309,35,p3
310,35,p4
311,35,p5
312,36,b0
313,36,b1
314,36,b2
315,36,b3
316,36,b4
317,36,b5
318,36,p0
319,36,p1
320,36,p2
321,36,p3
322,36,p4
323,36,p5
324,37,b0
325,37,b1
326,37,b2
327,37,b3
328,37,b4
329,37,b5
330,37,p0
331,37,p1
332,37,p2
333,37,p3
334,37,p4
335,37,p5
336,38,b0
337,38,b1
338,38,b2
339,38,b3
340,38,b4
341,38,b5
342,38,p0
343,38,p1
344,38,p2
345,38,p3
346,38,p4
347,38,p5
348,39,b0
349,39,b1
350,39,b2
351,39,b3
352,39,b4
353,39,b5
354,39,p0
355,39,p1
356,39,p2
357,39,p3
358,39,p4
359,39,p5
360,3,b0
361,3,b1
362,3,b2
363,3,b3
364,3,b4
365,3,b5
366,3,p0
367,3,p1
368,3,p2
369,3,p3
370,3,p4
371,3,p5
372,40,b0
373,40,b1
374,40,b2
375,40,b3
376,40,b4
377,40,b5
378,40,p0
379,40,p1
380,40,p2
381,40,p3
382,40,p4
383,40,p5
384,41,b0
385,41,b1
386,41,b2
387,41,b3
388,41,b4
389,41,b5
390,41,p0
391,41,p1
392,41,p2
393,41,p3
394,41,p4
395,41,p5
396,4,b0
397,4,b1
398,4,b2
399,4,b3
400,4,b4
401,4,b5
402,4,p0
403,4,p1
404,4,p2
405,4,p3
406,4,p4
407,4,p5
408,5,b0
409,5,b1
410,5,b2
411,5,b3
412,5,b4
413,5,b5
414,5,p0
415,5,p1
416,5,p2
417,5,p3
418,5,p4
419,5,p5
420,60,b0
421,60,b1
422,60,b2
423,60,b3
424,60,b4
425,60,b5
426,60,p0
427,60,p1
428,60,p2
429,60,p3
430,60,p4
431,60,p5
432,61,b0
433,61,b1
434,61,b2
435,61,b3
436,61,b4
437,61,b5
438,61,p0
439,61,p1
440,61,p2
441,61,p3
442,61,p4
443,61,p5
444,62,b0
445,62,b1
446,62,b2
447,62,b3
448,62,b4
449,62,b5
450,62,p0
451,62,p1
452,62,p2
453,62,p3
454,62,p4
455,62,p5
456,63,b0
457,63,b1
458,63,b2
459,63,b3
460,63,b4
461,63,b5
462,63,p0
463,63,p1
464,63,p2
465,63,p3
466,63,p4
467,63,p5
468,64,b0
469,64,b1
470,64,b2
471,64,b3
472,64,b4
473,64,b5
474,64,p0
475,64,p1
476,64,p2
477,64,p3
478,64,p4
479,64,p5
480,65,b0
481,65,b1
482,65,b2
483,65,b3
484,65,b4
485,65,b5
486,65,p0
487,65,p1
488,65,p2
489,65,p3
490,65,p4
491,65,p5
492,66,b0
493,66,b1
494,66,b2
495,66,b3
496,66,b4
497,66,b5
498,66,p0
499,66,p1
500,66,p2
501,66,p3
502,66,p4
503,66,p5
504,67,b0
505,67,b1
506,67,b2
507,67,b3
508,67,b4
509,67,b5
510,67,p0
511,67,p1
512,67,p2
513,67,p3
514,67,p4
515,67,p5
516,68,b0
517,68,b1
518,68,b2
519,68,b3
520,68,b4
521,68,b5
522,68,p0
523,68,p1
524,68,p2
525,68,p3
526,68,p4
527,68,p5
528,69,b0
529,69,b1
530,69,b2
531,69,b3
532,69,b4
533,69,b5
534,69,p0
535,69,p1
536,69,p2
537,69,p3
538,69,p4
539,69,p5
540,6,b0
541,6,b1
542,6,b2
543,6,b3
544,6,b4
545,6,b5
546,6,p0
547,6,p1
548,6,p2
549,6,p3
550,6,p4
551,6,p5
552,70,b0
553,70,b1
554,70,b2
555,70,b3
556,70,b4
557,70,b5
558,70,p0
559,70,p1
560,70,p2
561,70,p3
562,70,p4
563,70,p5
564,71,b0
565,71,b1
566,71,b2
567,71,b3
568,71,b4
569,71,b5
570,71,p0
571,71,p1
572,71,p2
573,71,p3
574,71,p4
575,71,p5
576,72,b0
577,72,b1
578,72,b2
579,72,b3
580,72,b4
581,72,b5
582,72,p0
583,72,p1
584,72,p2
585,72,p3
586,72,p4
587,72,p5
588,73,b0
589,73,b1
590,73,b2
591,73,b3
592,73,b4
593,73,b5
594,73,p0
595,73,p1
596,73,p2
597,73,p3
598,73,p4
599,73,p5
600,74,b0
601,74,b1
602,74,b2
603,74,b3
604,74,b4
605,74,b5
606,74,p0
607,74,p1
608,74,p2
609,74,p3
610,74,p4
611,74,p5
612,75,b0
613,75,b1
614,75,b2
615,75,b3
616,75,b4
617,75,b5
618,75,p0
619,75,p1
620,75,p2
621,75,p3
622,75,p4
623,75,p5
624,76,b0
625,76,b1
626,76,b2
627,76,b3
628,76,b4
629,76,b5
630,76,p0
631,76,p1
632,76,p2
633,76,p3
634,76,p4
635,76,p5
636,77,b0
637,77,b1
638,77,b2
639,77,b3
640,77,b4
641,77,b5
642,77,p0
643,77,p1
644,77,p2
645,77,p3
646,77,p4
647,77,p5
648,78,b0
649,78,b1
650,78,b2
651,78,b3
652,78,b4
653,78,b5
654,78,p0
655,78,p1
656,78,p2
657,78,p3
658,78,p4
659,78,p5
660,79,b0
661,79,b1
662,79,b2
663,79,b3
664,79,b4
665,79,b5
666,79,p0
667,79,p1
668,79,p2
669,79,p3
670,79,p4
671,79,p5
672,7,b0
673,7,b1
674,7,b2
675,7,b3
676,7,b4
677,7,b5
678,7,p0
679,7,p1
680,7,p2
681,7,p3
682,7,p4
683,7,p5
684,80,b0
685,80,b1
686,80,b2
687,80,b3
688,80,b4
689,80,b5
690,80,p0
691,80,p1
692,80,p2
693,80,p3
694,80,p4
695,80,p5
696,81,b0
697,81,b1
698,81,b2
699,81,b3
700,81,b4
701,81,b5
702,81,p0
703,81,p1
704,81,p2
705,81,p3
706,81,p4
707,81,p5
708,82,b0
709,82,b1
710,82,b2
711,82,b3
712,82,b4
713,82,b5
714,82,p0
715,82,p1
716,82,p2
717,82,p3
718,82,p4
719,82,p5
720,83,b0
721,83,b1
722,83,b2
723,83,b3
724,83,b4
725,83,b5
726,83,p0
727,83,p1
728,83,p2
729,83,p3
730,83,p4
731,83,p5
732,84,b0
733,84,b1
734,84,b2
735,84,b3
736,84,b4
737,84,b5
738,84,p0
739,84,p1
740,84,p2
741,84,p3
742,84,p4
743,84,p5
744,85,b0
745,85,b1
746,85,b2
747,85,b3
748,85,b4
749,85,b5
750,85,p0
751,85,p1
752,85,p2
753,85,p3
754,85,p4
755,85,p5
756,87,b0
757,87,b1
758,87,b2
759,87,b3
760,87,b4
761,87,b5
762,87,p0
763,87,p1
764,87,p2
765,87,p3
766,87,p4
767,87,p5
768,8,b0
769,8,b1
770,8,b2
771,8,b3
772,8,b4
773,8,b5
774,8,p0
775,8,p1
776,8,p2
777,8,p3
778,8,p4
779,8,p5
780,90,b0
781,90,b1
782,90,b2
783,90,b3
784,90,b4
785,90,b5
786,90,p0
787,90,p1
788,90,p2
789,90,p3
790,90,p4
791,90,p5
792,91,b0
793,91,b1
794,91,b2
795,91,b3
796,91,b4
797,91,b5
798,91,p0
799,91,p1
800,91,p2
801,91,p3
802,91,p4
803,91,p5
804,92,b0
805,92,b1
806,92,b2
807,92,b3
808,92,b4
809,92,b5
810,92,p0
811,92,p1
812,92,p2
813,92,p3
814,92,p4
815,92,p5
816,93,b0
817,93,b1
818,93,b2
819,93,b3
820,93,b4
821,93,b5
822,93,p0
823,93,p1
824,93,p2
825,93,p3
826,93,p4
827,93,p5
828,94,b0
829,94,b1
830,94,b2
831,94,b3
832,94,b4
833,94,b5
834,94,p0
835,94,p1
836,94,p2
837,94,p3
838,94,p4
839,94,p5
840,95,b0
841,95,b1
842,95,b2
843,95,b3
844,95,b4
845,95,b5
846,95,p0
847,95,p1
848,95,p2
849,95,p3
850,95,p4
851,95,p5
852,96,b0
853,96,b1
854,96,b2
855,96,b3
856,96,b4
857,96,b5
858,96,p0
859,96,p1
860,96,p2
861,96,p3
862,96,p4
863,96,p5
864,97,b0
865,97,b1
866,97,b2
867,97,b3
868,97,b4
869,97,b5
870,97,p0
871,97,p1
872,97,p2
873,97,p3
874,97,p4
875,97,p5
876,98,b0
877,98,b1
878,98,b2
879,98,b3
880,98,b4
881,98,b5
882,98,p0
883,98,p1
884,98,p2
885,98,p3
886,98,p4
887,98,p5
888,99,b0
889,99,b1
890,99,b2
891,99,b3
892,99,b4
893,99,b5
894,99,p0
895,99,p1
896,99,p2
897,99,p3
898,99,p4
899,99,p5
